"sim","scenario","threshold","method","first_crossing","posterior_at_crossing","effect_at_crossing","final_effect","type_m"
5,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750",1793,0.996301651437569,0.0598572623029143,0.0551744041718338,1.08487374175345
5,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800",1793,0.996301651437569,0.0598572623029143,0.0551744041718338,1.08487374175345
5,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850",1793,0.996301651437569,0.0598572623029143,0.0551744041718338,1.08487374175345
5,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900",1793,0.996301651437569,0.0598572623029143,0.0551744041718338,1.08487374175345
5,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950",1793,0.996301651437569,0.0598572623029143,0.0551744041718338,1.08487374175345
5,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",1793,0.996301651437569,0.0598572623029143,0.0551744041718338,1.08487374175345
5,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,0.0551744041718338,NA
6,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750",897,0.991141343934782,0.0753771342767075,0.0436032497888168,1.72870450348955
6,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800",897,0.991141343934782,0.0753771342767075,0.0436032497888168,1.72870450348955
6,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850",897,0.991141343934782,0.0753771342767075,0.0436032497888168,1.72870450348955
6,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900",897,0.991141343934782,0.0753771342767075,0.0436032497888168,1.72870450348955
6,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,0.0436032497888168,NA
6,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,0.0436032497888168,NA
6,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,0.0436032497888168,NA
7,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750",2690,0.992314819033204,0.043471867746374,0.043471867746374,1
7,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800",2690,0.992314819033204,0.043471867746374,0.043471867746374,1
7,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850",2690,0.992314819033204,0.043471867746374,0.043471867746374,1
7,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900",2690,0.992314819033204,0.043471867746374,0.043471867746374,1
7,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,0.043471867746374,NA
7,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,0.043471867746374,NA
7,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,0.043471867746374,NA
8,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,0.00528468767274759,NA
8,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,0.00528468767274759,NA
8,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,0.00528468767274759,NA
8,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,0.00528468767274759,NA
8,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,0.00528468767274759,NA
8,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,0.00528468767274759,NA
8,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,0.00528468767274759,NA
9,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750",1793,0.985510136367893,0.0486916271604017,0.0455969756837142,1.06786966526363
9,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800",1793,0.985510136367893,0.0486916271604017,0.0455969756837142,1.06786966526363
9,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850",1793,0.985510136367893,0.0486916271604017,0.0455969756837142,1.06786966526363
9,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900",2690,0.99390689969151,0.0455969756837142,0.0455969756837142,1
9,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,0.0455969756837142,NA
9,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,0.0455969756837142,NA
9,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,0.0455969756837142,NA
10,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,0.0212244938589494,NA
10,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,0.0212244938589494,NA
10,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,0.0212244938589494,NA
10,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,0.0212244938589494,NA
10,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,0.0212244938589494,NA
10,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,0.0212244938589494,NA
10,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,0.0212244938589494,NA
11,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750",897,0.994353259527253,0.079454926624738,0.0668273825877324,1.1889576330545
11,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800",897,0.994353259527253,0.079454926624738,0.0668273825877324,1.1889576330545
11,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850",897,0.994353259527253,0.079454926624738,0.0668273825877324,1.1889576330545
11,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900",897,0.994353259527253,0.079454926624738,0.0668273825877324,1.1889576330545
11,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950",2690,0.999894311285752,0.0668273825877324,0.0668273825877324,1
11,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",2690,0.999894311285752,0.0668273825877324,0.0668273825877324,1
11,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990",2690,0.999894311285752,0.0668273825877324,0.0668273825877324,1
12,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,0.0279546710889996,NA
12,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,0.0279546710889996,NA
12,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,0.0279546710889996,NA
12,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,0.0279546710889996,NA
12,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,0.0279546710889996,NA
12,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,0.0279546710889996,NA
12,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,0.0279546710889996,NA
13,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750",2690,0.975035191565402,0.0349442379182162,0.0349442379182162,1
13,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,0.0349442379182162,NA
13,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,0.0349442379182162,NA
13,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,0.0349442379182162,NA
13,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,0.0349442379182162,NA
13,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,0.0349442379182162,NA
