"sim","mode","first_crossing","peak","final"
141,"correct_conditional",NA,1.28385869296848,0.490479330725041
142,"history_naive",14,9.68656422422171e+285,9.68656422422171e+285
142,"practical_naive",NA,2.35881950622943,0.365419516352686
142,"correct_conditional",NA,2.07237870965119,0.196953962967258
143,"history_naive",14,7.3233049649397e+285,4.8822033099598e+285
143,"practical_naive",NA,1.06890476635345,0.191678522261859
143,"correct_conditional",NA,1.51543143622036,0.528320540521593
144,"history_naive",14,7.1854073877725e+285,4.79027159184833e+285
144,"practical_naive",NA,1.53639170488924,0.219366859971266
144,"correct_conditional",NA,1.38854681395773,0.548234252569986
145,"history_naive",15,9.50416655759584e+285,9.50416655759584e+285
145,"practical_naive",NA,2.82636009716047,0.137041320393078
145,"correct_conditional",NA,4.87417990482081,1.91398826847403
146,"history_naive",15,9.76440661991956e+285,9.76440661991956e+285
146,"practical_naive",NA,1.58890927974794,0.166520787452023
146,"correct_conditional",NA,1.14193172361974,0.277670388854089
147,"history_naive",14,9.74488757108635e+285,9.74488757108635e+285
147,"practical_naive",NA,5.67574169780199,0.406712721656091
147,"correct_conditional",NA,9.52131910030529,2.14262018601173
148,"history_naive",14,9.75464221329965e+285,9.75464221329965e+285
148,"practical_naive",NA,2.79414489945184,0.0259014445320139
148,"correct_conditional",NA,2.50173644294388,0.083237557431401
149,"history_naive",14,9.59013331701367e+285,9.59013331701367e+285
149,"practical_naive",924,21.3390735577185,1.02497436937018
149,"correct_conditional",NA,10.5096379297759,0.595933270977946
150,"history_naive",15,9.5997330500637e+285,9.5997330500637e+285
150,"practical_naive",NA,3.93169560442443,0.415918329963246
150,"correct_conditional",NA,10.0784975418835,4.13988632039714
151,"history_naive",15,9.66720078233757e+285,9.66720078233757e+285
151,"practical_naive",NA,1.58225683909467,0.0794279421760179
151,"correct_conditional",NA,1.11285564573304,0.218827741265847
152,"history_naive",15,9.72540754083174e+285,9.72540754083174e+285
152,"practical_naive",NA,1.90217678848039,0.213404358740095
152,"correct_conditional",NA,1.75763733056319,0.343930476008413
153,"history_naive",14,7.26492316816629e+285,4.84328211211086e+285
153,"practical_naive",1108,24.3957199364977,1.65911733126007
153,"correct_conditional",1062,73.6171810907593,36.0310568735131
154,"history_naive",15,7.34531889300733e+285,4.89687926200489e+285
154,"practical_naive",NA,1.13162352616396,0.23174851611598
154,"correct_conditional",NA,1.052980763387,0.185427209131738
155,"history_naive",14,9.60934239245619e+285,9.60934239245619e+285
155,"practical_naive",NA,1.92946028022606,0.221639529466272
155,"correct_conditional",NA,1.28819093297085,0.104198467379286
156,"history_naive",14,7.27219536352985e+285,4.84813024235323e+285
156,"practical_naive",NA,1.03936340562235,0.197951326091958
