"sim","scenario","method","first_crossing","direction","statistic_at_crossing"
5,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",1614,"benefit",2.99436579989515
5,"Alternative: 35% vs 30%","e-RTb adaptive",2266,"benefit",0.0698984184132698
5,"Alternative: 35% vs 30%","e-RTb design directional",968,"benefit",0.078879037906353
5,"Alternative: 35% vs 30%","e-RTb mixture two-sided",1231,"benefit",0.0771996615905245
6,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA
6,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA
6,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA
6,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",NA,NA,NA
6,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",NA,NA,NA
6,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",NA,NA,NA
6,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",NA,NA,NA
6,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",NA,NA,NA
6,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",NA,NA,NA
6,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",NA,NA,NA
6,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",NA,NA,NA
6,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
6,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA
6,"Alternative: 35% vs 30%","e-RTb mixture two-sided",NA,NA,NA
7,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.37474763477541
7,"Alternative: 35% vs 30%","Pocock two-sided",2690,"benefit",2.37474763477541
7,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.37474763477541
7,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",2690,"benefit",2.37474763477541
7,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2690,"benefit",2.37474763477541
7,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",2690,"benefit",2.37474763477541
7,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2152,"benefit",2.16321835500879
7,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",2690,"benefit",2.37474763477541
7,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2690,"benefit",2.37474763477541
7,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",2152,"benefit",2.16321835500879
7,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2152,"benefit",2.16321835500879
7,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
7,"Alternative: 35% vs 30%","e-RTb design directional",2235,"benefit",0.0475592508533053
7,"Alternative: 35% vs 30%","e-RTb mixture two-sided",NA,NA,NA
8,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA
8,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA
8,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA
8,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",NA,NA,NA
8,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",NA,NA,NA
8,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",NA,NA,NA
8,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",NA,NA,NA
8,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",NA,NA,NA
8,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",NA,NA,NA
8,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",NA,NA,NA
8,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",NA,NA,NA
8,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
8,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA
8,"Alternative: 35% vs 30%","e-RTb mixture two-sided",NA,NA,NA
9,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.84619022564259
9,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",3.84619022564259
9,"Alternative: 35% vs 30%","Haybittle-Peto",1793,"benefit",3.84619022564259
9,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",3.84619022564259
9,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",1614,"benefit",3.50667510911054
9,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",3.84619022564259
9,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",1614,"benefit",3.50667510911054
9,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",1793,"benefit",3.84619022564259
9,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",1614,"benefit",3.50667510911054
9,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",1076,"benefit",2.34902130749745
9,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",1614,"benefit",3.50667510911054
9,"Alternative: 35% vs 30%","e-RTb adaptive",1359,"benefit",0.0804686078647109
9,"Alternative: 35% vs 30%","e-RTb design directional",1225,"benefit",0.0696185997910135
9,"Alternative: 35% vs 30%","e-RTb mixture two-sided",1312,"benefit",0.0757110987172336
10,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",2.65921150258697
10,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",2.65921150258697
10,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",4.29316222500406
10,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",2.65921150258697
10,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2152,"benefit",3.82847603470561
10,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",2.65921150258697
10,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",1614,"benefit",2.57550626086253
10,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",1793,"benefit",2.65921150258697
10,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2152,"benefit",3.82847603470561
10,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",1614,"benefit",2.57550626086253
10,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",1614,"benefit",2.57550626086253
10,"Alternative: 35% vs 30%","e-RTb adaptive",2009,"benefit",0.0682795218965428
10,"Alternative: 35% vs 30%","e-RTb design directional",1612,"benefit",0.058405144199299
10,"Alternative: 35% vs 30%","e-RTb mixture two-sided",1682,"benefit",0.0640003395393581
11,"Alternative: 35% vs 30%","OBF two-sided",897,"benefit",3.51698816364844
11,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",3.51698816364844
11,"Alternative: 35% vs 30%","Haybittle-Peto",897,"benefit",3.51698816364844
11,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",3.33266318956481
11,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",1614,"benefit",2.98873308760865
11,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",897,"benefit",3.51698816364844
11,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",1076,"benefit",2.89082644903423
11,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",1793,"benefit",3.33266318956481
11,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",1614,"benefit",2.98873308760865
11,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",538,"benefit",2.83361542161179
11,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",1076,"benefit",2.89082644903423
11,"Alternative: 35% vs 30%","e-RTb adaptive",485,"benefit",0.135707443897099
11,"Alternative: 35% vs 30%","e-RTb design directional",485,"benefit",0.135707443897099
11,"Alternative: 35% vs 30%","e-RTb mixture two-sided",747,"benefit",0.113419310364637
12,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.61803247675885
12,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",2.71144556246052
12,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.61803247675885
12,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",2690,"benefit",2.61803247675885
12,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2152,"benefit",2.35932400376223
12,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",2.20476601691245
12,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2152,"benefit",2.35932400376223
12,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",2690,"benefit",2.61803247675885
12,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2152,"benefit",2.35932400376223
12,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",2152,"benefit",2.35932400376223
12,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2152,"benefit",2.35932400376223
12,"Alternative: 35% vs 30%","e-RTb adaptive",750,"benefit",0.105005653494144
12,"Alternative: 35% vs 30%","e-RTb design directional",720,"benefit",0.0991442835207061
12,"Alternative: 35% vs 30%","e-RTb mixture two-sided",777,"benefit",0.108854670500775
13,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.19761872859604
13,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",3.19761872859604
13,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",4.52604591335637
13,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",3.19761872859604
13,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",1614,"benefit",3.16150147618503
13,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",3.19761872859604
13,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",1614,"benefit",3.16150147618503
13,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",1793,"benefit",3.19761872859604
13,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",1614,"benefit",3.16150147618503
13,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",1076,"benefit",2.797607780161
13,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",1076,"benefit",2.797607780161
13,"Alternative: 35% vs 30%","e-RTb adaptive",1178,"benefit",0.0906037847990606
13,"Alternative: 35% vs 30%","e-RTb design directional",1012,"benefit",0.0786719638106622
13,"Alternative: 35% vs 30%","e-RTb mixture two-sided",1143,"benefit",0.083363471971067
14,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.28644867583579
14,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA
14,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.28644867583579
