"sim","scenario","method","first_crossing","direction","statistic_at_crossing"
430,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.63788558326717
430,"Alternative: 35% vs 30%","Pocock two-sided",2690,"benefit",2.63788558326717
430,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.63788558326717
430,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",2690,"benefit",2.63788558326717
430,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2690,"benefit",2.63788558326717
430,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",2690,"benefit",2.63788558326717
430,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2152,"benefit",2.15845592283766
430,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",2690,"benefit",2.63788558326717
430,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2690,"benefit",2.63788558326717
430,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",2152,"benefit",2.15845592283766
430,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2152,"benefit",2.15845592283766
430,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
430,"Alternative: 35% vs 30%","e-RTb design directional",2391,"benefit",0.047406277549992
430,"Alternative: 35% vs 30%","e-RTb mixture two-sided",2500,"benefit",0.0514088225411605
431,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.38737289293537
431,"Alternative: 35% vs 30%","Pocock two-sided",2690,"benefit",2.38737289293537
431,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.38737289293537
431,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",2690,"benefit",2.38737289293537
431,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2690,"benefit",2.38737289293537
431,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",2690,"benefit",2.38737289293537
431,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2690,"benefit",2.38737289293537
431,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",2690,"benefit",2.38737289293537
431,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2690,"benefit",2.38737289293537
431,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",2690,"benefit",2.38737289293537
431,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2690,"benefit",2.38737289293537
431,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
431,"Alternative: 35% vs 30%","e-RTb design directional",2653,"benefit",0.0462031055003236
431,"Alternative: 35% vs 30%","e-RTb mixture two-sided",NA,NA,NA
432,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.17626697678464
432,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",2.43773819648689
432,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",3.20495185017059
432,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",3.17626697678464
432,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",1614,"benefit",3.42970150121885
432,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",3.17626697678464
432,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",1614,"benefit",3.42970150121885
432,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",1793,"benefit",3.17626697678464
432,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",1614,"benefit",3.42970150121885
432,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",1076,"benefit",2.23441072080376
432,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",1614,"benefit",3.42970150121885
432,"Alternative: 35% vs 30%","e-RTb adaptive",319,"benefit",0.14442168294989
432,"Alternative: 35% vs 30%","e-RTb design directional",1151,"benefit",0.0712957203847849
432,"Alternative: 35% vs 30%","e-RTb mixture two-sided",1470,"benefit",0.0698284146266948
433,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.12220801944961
433,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",3.12220801944961
433,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",3.91236716554642
433,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",3.12220801944961
433,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",1614,"benefit",2.84879857197327
433,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",3.12220801944961
433,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",1614,"benefit",2.84879857197327
433,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",1793,"benefit",3.12220801944961
433,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",1614,"benefit",2.84879857197327
433,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",1076,"benefit",2.57404964012257
433,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",1614,"benefit",2.84879857197327
433,"Alternative: 35% vs 30%","e-RTb adaptive",981,"benefit",0.0776864675454698
433,"Alternative: 35% vs 30%","e-RTb design directional",1006,"benefit",0.0803620656144762
433,"Alternative: 35% vs 30%","e-RTb mixture two-sided",1456,"benefit",0.0716833534230399
434,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",2.7587359676787
434,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",2.7587359676787
434,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA
434,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",2.7587359676787
434,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",NA,NA,NA
434,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",2.7587359676787
434,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",1614,"benefit",2.6221639999926
434,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",1793,"benefit",2.7587359676787
434,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",NA,NA,NA
434,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",1076,"benefit",2.33126568801504
434,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",1614,"benefit",2.6221639999926
434,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
434,"Alternative: 35% vs 30%","e-RTb design directional",1109,"benefit",0.0755349291646312
434,"Alternative: 35% vs 30%","e-RTb mixture two-sided",1666,"benefit",0.0652548626243761
435,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.25470815151363
435,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA
435,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.25470815151363
435,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",2690,"benefit",2.25470815151363
435,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2690,"benefit",2.25470815151363
435,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",2.24136994372111
435,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2152,"benefit",2.26631368935122
435,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",2690,"benefit",2.25470815151363
435,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2690,"benefit",2.25470815151363
435,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",1614,"benefit",2.15662468095252
435,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2152,"benefit",2.26631368935122
435,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
435,"Alternative: 35% vs 30%","e-RTb design directional",1740,"benefit",0.0550704106229118
435,"Alternative: 35% vs 30%","e-RTb mixture two-sided",1914,"benefit",0.0594991329508193
436,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA
436,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA
436,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA
436,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",NA,NA,NA
436,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",NA,NA,NA
436,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",NA,NA,NA
436,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2152,"benefit",2.07324329660738
436,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",NA,NA,NA
436,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",NA,NA,NA
436,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",2152,"benefit",2.07324329660738
436,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2152,"benefit",2.07324329660738
436,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
436,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA
436,"Alternative: 35% vs 30%","e-RTb mixture two-sided",NA,NA,NA
437,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.02735316283555
437,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA
437,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.02735316283555
437,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",2690,"benefit",2.02735316283555
437,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",NA,NA,NA
437,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",2690,"benefit",2.02735316283555
437,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2690,"benefit",2.02735316283555
437,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",2690,"benefit",2.02735316283555
437,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",NA,NA,NA
437,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",2690,"benefit",2.02735316283555
437,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2690,"benefit",2.02735316283555
437,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
437,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA
437,"Alternative: 35% vs 30%","e-RTb mixture two-sided",NA,NA,NA
438,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",2.45609932341775
438,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",2.95619894707654
438,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",3.09554247740142
438,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",2690,"benefit",3.09554247740142
438,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2152,"benefit",2.77628127637897
438,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",2.45609932341775
438,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2152,"benefit",2.77628127637897
438,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",2690,"benefit",3.09554247740142
438,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2152,"benefit",2.77628127637897
438,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",1076,"benefit",2.47198140315807
438,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2152,"benefit",2.77628127637897
438,"Alternative: 35% vs 30%","e-RTb adaptive",2093,"benefit",0.0562130177514792
438,"Alternative: 35% vs 30%","e-RTb design directional",783,"benefit",0.0919162262673713
438,"Alternative: 35% vs 30%","e-RTb mixture two-sided",2095,"benefit",0.05678229121622
439,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.59943374501191
439,"Alternative: 35% vs 30%","Pocock two-sided",2690,"benefit",2.59943374501191
439,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.59943374501191
439,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",2690,"benefit",2.59943374501191
439,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2690,"benefit",2.59943374501191
439,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",2690,"benefit",2.59943374501191
439,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2690,"benefit",2.59943374501191
439,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",2690,"benefit",2.59943374501191
439,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2690,"benefit",2.59943374501191
439,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",2690,"benefit",2.59943374501191
439,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2690,"benefit",2.59943374501191
439,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
439,"Alternative: 35% vs 30%","e-RTb design directional",2623,"benefit",0.0441030078055949
439,"Alternative: 35% vs 30%","e-RTb mixture two-sided",NA,NA,NA
440,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA
440,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA
440,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA
440,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",NA,NA,NA
440,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",NA,NA,NA
440,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",NA,NA,NA
440,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",NA,NA,NA
440,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",NA,NA,NA
440,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",NA,NA,NA
440,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",NA,NA,NA
440,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",NA,NA,NA
440,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
440,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA
440,"Alternative: 35% vs 30%","e-RTb mixture two-sided",NA,NA,NA
441,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.36986237963599
441,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",3.36986237963599
441,"Alternative: 35% vs 30%","Haybittle-Peto",1793,"benefit",3.36986237963599
441,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",3.36986237963599
441,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",1614,"benefit",2.79732256808374
441,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",3.36986237963599
441,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",1614,"benefit",2.79732256808374
441,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",1793,"benefit",3.36986237963599
441,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",1614,"benefit",2.79732256808374
441,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",1614,"benefit",2.79732256808374
441,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",1614,"benefit",2.79732256808374
441,"Alternative: 35% vs 30%","e-RTb adaptive",1640,"benefit",0.0692262034925494
441,"Alternative: 35% vs 30%","e-RTb design directional",1566,"benefit",0.059627483187157
441,"Alternative: 35% vs 30%","e-RTb mixture two-sided",1607,"benefit",0.0668107454917272
442,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.41730743996903
442,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",2.45409064605237
442,"Alternative: 35% vs 30%","Haybittle-Peto",1793,"benefit",3.41730743996903
442,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",3.41730743996903
442,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",1614,"benefit",3.56230971902529
442,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",3.41730743996903
442,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",1614,"benefit",3.56230971902529
442,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",1793,"benefit",3.41730743996903
442,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",1614,"benefit",3.56230971902529
442,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",1076,"benefit",2.61549730280386
442,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",1614,"benefit",3.56230971902529
442,"Alternative: 35% vs 30%","e-RTb adaptive",1489,"benefit",0.0806165859009377
442,"Alternative: 35% vs 30%","e-RTb design directional",916,"benefit",0.0835622710622713
442,"Alternative: 35% vs 30%","e-RTb mixture two-sided",1369,"benefit",0.073477804247035
443,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.8927141652839
443,"Alternative: 35% vs 30%","Pocock two-sided",2690,"benefit",2.8927141652839
443,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.8927141652839
443,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",2690,"benefit",2.8927141652839
443,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2152,"benefit",2.6516782236029
443,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",2690,"benefit",2.8927141652839
443,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2152,"benefit",2.6516782236029
443,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",2690,"benefit",2.8927141652839
443,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2152,"benefit",2.6516782236029
443,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",2152,"benefit",2.6516782236029
443,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2152,"benefit",2.6516782236029
443,"Alternative: 35% vs 30%","e-RTb adaptive",2514,"benefit",0.0549783549783547
443,"Alternative: 35% vs 30%","e-RTb design directional",1931,"benefit",0.0525299927686905
443,"Alternative: 35% vs 30%","e-RTb mixture two-sided",2247,"benefit",0.0540073523586175
444,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.40247434584723
444,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",2.87685458101987
444,"Alternative: 35% vs 30%","Haybittle-Peto",1793,"benefit",3.40247434584723
444,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",3.40247434584723
444,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",1614,"benefit",3.08091555099527
444,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",3.40247434584723
444,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",1076,"benefit",2.90796410515749
444,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",1793,"benefit",3.40247434584723
444,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",1614,"benefit",3.08091555099527
444,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",538,"benefit",2.35251557221544
444,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",1076,"benefit",2.90796410515749
444,"Alternative: 35% vs 30%","e-RTb adaptive",975,"benefit",0.0985382110126486
444,"Alternative: 35% vs 30%","e-RTb design directional",796,"benefit",0.0929648241206031
444,"Alternative: 35% vs 30%","e-RTb mixture two-sided",930,"benefit",0.0970400899213187
445,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",2.40998509107005
445,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",2.40998509107005
445,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.87635266656414
445,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",2690,"benefit",2.87635266656414
445,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2152,"benefit",2.37673786959804
445,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",2.40998509107005
445,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2152,"benefit",2.37673786959804
445,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",2690,"benefit",2.87635266656414
445,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2152,"benefit",2.37673786959804
445,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",1614,"benefit",2.28834773336269
445,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2152,"benefit",2.37673786959804
445,"Alternative: 35% vs 30%","e-RTb adaptive",2284,"benefit",0.052728093697878
445,"Alternative: 35% vs 30%","e-RTb design directional",1752,"benefit",0.0554146509479752
445,"Alternative: 35% vs 30%","e-RTb mixture two-sided",2315,"benefit",0.053196211897011
446,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",2.61141913719501
446,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",2.61141913719501
446,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",3.71799242115358
446,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",2.61141913719501
446,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2152,"benefit",2.61314995236761
446,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",2.61141913719501
446,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2152,"benefit",2.61314995236761
446,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",1793,"benefit",2.61141913719501
446,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2152,"benefit",2.61314995236761
446,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",2152,"benefit",2.61314995236761
446,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2152,"benefit",2.61314995236761
446,"Alternative: 35% vs 30%","e-RTb adaptive",2360,"benefit",0.0655444308707488
446,"Alternative: 35% vs 30%","e-RTb design directional",1714,"benefit",0.0564015423828507
446,"Alternative: 35% vs 30%","e-RTb mixture two-sided",1955,"benefit",0.0589952904238618
447,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",2.87501254117836
447,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",2.87501254117836
447,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",3.89429517077253
447,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",2.87501254117836
447,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2152,"benefit",3.5195961762568
447,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",2.87501254117836
447,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",1614,"benefit",2.48823078923694
447,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",1793,"benefit",2.87501254117836
447,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2152,"benefit",3.5195961762568
447,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",1614,"benefit",2.48823078923694
447,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",1614,"benefit",2.48823078923694
447,"Alternative: 35% vs 30%","e-RTb adaptive",2309,"benefit",0.0727479871030496
447,"Alternative: 35% vs 30%","e-RTb design directional",1310,"benefit",0.0662410345703703
447,"Alternative: 35% vs 30%","e-RTb mixture two-sided",1642,"benefit",0.0651689094445954
448,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA
448,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA
448,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA
448,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",NA,NA,NA
448,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",NA,NA,NA
448,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",NA,NA,NA
448,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",NA,NA,NA
448,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",NA,NA,NA
448,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",NA,NA,NA
448,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",NA,NA,NA
448,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",NA,NA,NA
448,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
448,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA
448,"Alternative: 35% vs 30%","e-RTb mixture two-sided",NA,NA,NA
449,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA
449,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA
449,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA
449,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",NA,NA,NA
449,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",NA,NA,NA
449,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",NA,NA,NA
449,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",NA,NA,NA
449,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",NA,NA,NA
449,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",NA,NA,NA
449,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",NA,NA,NA
449,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",NA,NA,NA
449,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
449,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA
449,"Alternative: 35% vs 30%","e-RTb mixture two-sided",NA,NA,NA
450,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.53845790895461
450,"Alternative: 35% vs 30%","Pocock two-sided",2690,"benefit",2.53845790895461
450,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.53845790895461
450,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",2690,"benefit",2.53845790895461
450,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2690,"benefit",2.53845790895461
450,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",2690,"benefit",2.53845790895461
450,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2152,"benefit",2.28189410578696
450,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",2690,"benefit",2.53845790895461
450,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2690,"benefit",2.53845790895461
450,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",2152,"benefit",2.28189410578696
450,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2152,"benefit",2.28189410578696
450,"Alternative: 35% vs 30%","e-RTb adaptive",162,"benefit",0.235347985347985
450,"Alternative: 35% vs 30%","e-RTb design directional",2129,"benefit",0.0496212174698879
450,"Alternative: 35% vs 30%","e-RTb mixture two-sided",NA,NA,NA
451,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA
451,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA
451,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA
451,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",NA,NA,NA
451,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",NA,NA,NA
451,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",NA,NA,NA
