"sim","scenario","threshold","bayes_method","ert_method","bayes_first_crossing","ert_first_crossing","combined_first_crossing","bayes_only","ert_only","both","neither"
2,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb adaptive",1793,2082,1793,FALSE,FALSE,TRUE,FALSE
2,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb design directional",1793,1479,1479,FALSE,FALSE,TRUE,FALSE
2,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb adaptive",1793,2082,1793,FALSE,FALSE,TRUE,FALSE
2,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb design directional",1793,1479,1479,FALSE,FALSE,TRUE,FALSE
2,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb adaptive",1793,2082,1793,FALSE,FALSE,TRUE,FALSE
2,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb design directional",1793,1479,1479,FALSE,FALSE,TRUE,FALSE
2,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb adaptive",2690,2082,2082,FALSE,FALSE,TRUE,FALSE
2,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb design directional",2690,1479,1479,FALSE,FALSE,TRUE,FALSE
2,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb adaptive",2690,2082,2082,FALSE,FALSE,TRUE,FALSE
2,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb design directional",2690,1479,1479,FALSE,FALSE,TRUE,FALSE
2,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb adaptive",2690,2082,2082,FALSE,FALSE,TRUE,FALSE
2,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb design directional",2690,1479,1479,FALSE,FALSE,TRUE,FALSE
3,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb adaptive",1793,2199,1793,FALSE,FALSE,TRUE,FALSE
3,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb design directional",1793,1267,1267,FALSE,FALSE,TRUE,FALSE
3,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb adaptive",1793,2199,1793,FALSE,FALSE,TRUE,FALSE
3,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb design directional",1793,1267,1267,FALSE,FALSE,TRUE,FALSE
3,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb adaptive",2690,2199,2199,FALSE,FALSE,TRUE,FALSE
3,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb design directional",2690,1267,1267,FALSE,FALSE,TRUE,FALSE
3,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb adaptive",2690,2199,2199,FALSE,FALSE,TRUE,FALSE
3,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb design directional",2690,1267,1267,FALSE,FALSE,TRUE,FALSE
3,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb adaptive",2690,2199,2199,FALSE,FALSE,TRUE,FALSE
3,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb design directional",2690,1267,1267,FALSE,FALSE,TRUE,FALSE
3,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb adaptive",2690,2199,2199,FALSE,FALSE,TRUE,FALSE
3,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb design directional",2690,1267,1267,FALSE,FALSE,TRUE,FALSE
3,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb adaptive",2690,2199,2199,FALSE,FALSE,TRUE,FALSE
3,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb design directional",2690,1267,1267,FALSE,FALSE,TRUE,FALSE
4,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb adaptive",1793,1788,1788,FALSE,FALSE,TRUE,FALSE
4,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb design directional",1793,1441,1441,FALSE,FALSE,TRUE,FALSE
4,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb adaptive",1793,1788,1788,FALSE,FALSE,TRUE,FALSE
4,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb design directional",1793,1441,1441,FALSE,FALSE,TRUE,FALSE
4,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb adaptive",1793,1788,1788,FALSE,FALSE,TRUE,FALSE
4,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb design directional",1793,1441,1441,FALSE,FALSE,TRUE,FALSE
4,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb adaptive",1793,1788,1788,FALSE,FALSE,TRUE,FALSE
4,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb design directional",1793,1441,1441,FALSE,FALSE,TRUE,FALSE
4,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb adaptive",1793,1788,1788,FALSE,FALSE,TRUE,FALSE
4,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb design directional",1793,1441,1441,FALSE,FALSE,TRUE,FALSE
4,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb adaptive",1793,1788,1788,FALSE,FALSE,TRUE,FALSE
4,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb design directional",1793,1441,1441,FALSE,FALSE,TRUE,FALSE
4,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb adaptive",1793,1788,1788,FALSE,FALSE,TRUE,FALSE
4,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb design directional",1793,1441,1441,FALSE,FALSE,TRUE,FALSE
5,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb adaptive",1793,1177,1177,FALSE,FALSE,TRUE,FALSE
5,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb design directional",1793,1006,1006,FALSE,FALSE,TRUE,FALSE
5,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb adaptive",1793,1177,1177,FALSE,FALSE,TRUE,FALSE
5,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb design directional",1793,1006,1006,FALSE,FALSE,TRUE,FALSE
5,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb adaptive",1793,1177,1177,FALSE,FALSE,TRUE,FALSE
5,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb design directional",1793,1006,1006,FALSE,FALSE,TRUE,FALSE
5,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb adaptive",1793,1177,1177,FALSE,FALSE,TRUE,FALSE
5,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb design directional",1793,1006,1006,FALSE,FALSE,TRUE,FALSE
5,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb adaptive",1793,1177,1177,FALSE,FALSE,TRUE,FALSE
5,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb design directional",1793,1006,1006,FALSE,FALSE,TRUE,FALSE
5,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb adaptive",1793,1177,1177,FALSE,FALSE,TRUE,FALSE
